title,lowestAsk,lowestAskSize,numberOfAsks,salesThisPeriod,salesLastPeriod,highestBid,highestBidSize,numberOfBids,annualHigh,annualLow,deadstockRangeLow,deadstockRangeHigh,volatility,deadstockSold,pricePremium,averageDeadstockPrice,lastSale,salesLast72Hours,changeValue,changePercentage,totalDollars,deadstockSoldRank,pricePremiumRank,averageDeadstockPriceRank,missingData
Jordan 1 Retro High City of Flight,108,13,87,15,None,172,7,87,225,48,85,127,0.197638,1229,-0.338,105,106,15,-45,-0.298013,128914,53,63,24,False
Jordan Legacy 312 Trainer 3 Medicine Ball,115,13,60,15,None,205,5,87,425,87,159,209,0.134366,708,0.15,161,184,15,0,0,114211,86,60,58,False
Nike Zoom Rookie Glow-In-The-Dark (2018),124,10.5,52,15,None,200,14,31,225,110,127,143,0.062082,187,-0.357,152,135,15,17,0.144068,28496,18,69,83,False
Air Foamposite One Obsidian Glitter (W),135,9W,45,15,None,184,11W,102,280,130,154,188,0.096992,169,-0.257,162,171,15,31,0.221429,27394,24,33,3,False
Jordan 5 Retro Sunblush (GS),135,7Y,12,15,None,239,5Y,77,240,70,99,165,0.248833,327,-0.057,136,132,15,-68,-0.34,44553,89,46,10,False
adidas Ultra Boost 4.0 Breast Cancer Awareness,150,8.5,75,15,None,229,5.5,76,299,87,108,192,0.277014,2466,-0.167,162,150,15,-149,-0.498328,399316,32,99,50,False
Jordan 3 Retro Pure White (2018),152,11,77,15,None,160,12,108,311,105,146,184,0.117844,1944,-0.132,166,165,15,8,0.050955,322530,95,48,48,False
adidas Ultra Boost 2.0 Gold Medal,162,8.5,125,15,None,200,12,76,575,127,154,193,0.109616,392,-0.132,222,174,15,0,-0.002794,86864,57,36,20,False
Jordan 1 Retro High Rox Brown (W),165,11.5W,111,15,None,168,10W,52,300,150,138,162,0.077364,326,-0.063,189,150,15,-6,-0.038462,61735,98,74,56,False
adidas Ultra Boost 4.0 Cookies and Cream,189,7.5,74,15,None,285,11.5,61,501,130,117,183,0.22093,3125,-0.25,232,150,15,0,0,724528,59,87,53,False
Jordan 5 Retro Grape Fresh Prince,201,10.5,195,15,None,230,12,111,600,157,216,242,0.058147,2317,0.205,241,229,15,1,0.004386,557558,69,26,80,False
Nike SB Dunk Low Concepts Purple Lobster (Special Packaging),320,6.5,149,15,None,386,11.5,276,600,250,339,411,0.094928,425,1.885,350,375,15,-25,-0.0625,148726,71,83,69,False
Nike React Element 87 Undercover Green Mist,330,7,86,15,None,456,12,191,700,250,351,399,0.06365,1201,1.083,387,375,15,-15,-0.038462,464695,4,44,47,False
Jordan 11 Retro Concord 2018 (PS),78,13,96,14,None,80,1,28,158,75,78,92,0.087045,349,-0.056,104,85,14,-5,-0.055556,36428,14,75,38,False
Puma Thunder Spectra Black,80,8.5,95,14,None,90,13,52,425,75,73,97,0.138981,2254,-0.292,174,85,14,9,0.118421,392782,33,0,65,False
Converse Chuck Taylor All-Star 70s Hi Golf Le Fleur Parchment,115,12,47,14,None,130,4.5,64,200,70,118,132,0.052762,370,0.25,116,125,14,1,0.008065,42854,54,94,60,False
adidas Ultra Boost 4 Show Your Stripes Black,118,10,43,14,None,120,11,35,250,99,95,117,0.103774,1264,-0.411,128,106,14,-6,-0.053571,161879,82,97,62,False
Jordan Legacy 312 Elephant Print Bred,134,9,37,14,None,140,8.5,37,275,110,107,179,0.251762,41,-0.047,164,143,14,-22,-0.133333,6727,87,25,34,False
Air VaporMax Plus Overbranding Black,139,11,35,14,None,175,6.5,67,271,100,123,199,0.233397,102,-0.153,154,161,14,28,0.210526,15732,45,25,80,False
Nike React Element 87 Black Neptune Green,145,4.5,201,14,None,200,15,104,301,65,143,160,0.055856,1587,-0.056,176,151,14,-12,-0.078675,279302,28,77,98,False
adidas Ultra Boost 2.0 ATR Glow in the Dark,149,12,90,14,None,135,13,26,800,120,130,160,0.102116,170,-0.194,202,145,14,10,0.074074,34316,59,86,94,False
adidas Ultra Boost 2.0 White Reflective,149,7,67,14,None,220,12,62,300,109,146,224,0.209166,799,-0.075,166,185,14,67,0.567797,132266,0,50,82,False
Air Max 97 White Wolf Grey,150,8.5,66,14,None,200,6,68,315,115,129,171,0.14118,1078,-0.063,182,150,14,0,-0.001294,196578,97,23,36,False
Air Max 97 Metallic Gold (2018),160,8,179,14,None,185,12,87,344,126,162,182,0.061039,4008,0.075,184,172,14,3,0.017751,739465,78,32,93,False
Jordan 6 Retro Diffused Blue,169,10,116,14,None,180,14,151,515,145,188,216,0.067677,272,0.063,200,202,14,32,0.18479,54498,11,2,76,False
Jordan 11 Retro Low Iridescent (GS),195,3.5Y,37,14,None,225,5Y,71,275,90,198,220,0.051746,891,0.608,159,209,14,-1,-0.004762,141705,96,63,21,False
Jordan 5 Retro Grape Fresh Prince,201,10.5,195,14,None,230,12,111,600,157,216,242,0.058147,2317,0.205,241,229,14,1,0.004386,557558,12,52,98,False
Jordan 12 Retro Gym Red,209,10,90,14,None,215,12.5,84,369,100,184,226,0.10383,1044,0.079,223,205,14,4,0.0199,232787,81,76,32,False
adidas Human Race NMD Pharrell Multi-Color,215,9,200,14,None,280,12,68,500,190,206,244,0.084686,1583,-0.063,337,225,14,5,0.022727,533979,30,94,50,False
Jordan 4 Retro Pure Money (2017),225,12.5,68,14,None,317,7.5,116,550,105,192,268,0.166216,1790,0.212,213,230,14,2,0.00525,381767,92,45,65,False
Jordan 1 Mid Black Cone (GS),80,5Y,28,13,None,81,5.5Y,33,135,60,77,83,0.034026,124,-0.111,80,80,13,10,0.142857,9867,80,41,50,False
Jordan 1 Mid Gym Red Black (GS),89,6.5Y,25,13,None,122,5Y,66,149,65,83,111,0.143805,966,0.078,96,97,13,-32,-0.248062,92842,90,58,58,False
Air Force 1 Low Doernbecher 2018 (W),94,7W,153,13,None,150,11.5W,37,210,75,82,118,0.180642,157,0.111,121,100,13,-4,-0.038462,18983,38,52,75,False
KD 4 Think 16 (Thunderstruck),95,9,52,13,None,100,12,61,275,60,70,120,0.261974,901,-0.321,130,95,13,0,0,116781,86,63,80,False
Nike Killshot 2 J Crew Sail Midnight Navy,100,9,118,13,None,155,13,42,262,80,91,115,0.113562,1786,0.144,126,103,13,-2,-0.019048,224985,26,29,64,False
Air Force 270 Carnivore,100,8.5,22,13,None,67,7,32,210,60,57,73,0.124564,124,-0.594,98,65,13,-15,-0.1875,12183,29,69,11,False
Air Force 1 Low Utility White Black (GS),102,5Y,29,13,None,95,5Y,12,150,70,93,115,0.106881,116,0.224,105,104,13,-4,-0.045144,12131,34,80,91,False
Nike React Element 55 Black Aurora Green,110,9,44,13,None,120,9.5,60,260,80,108,141,0.132311,707,-0.039,135,125,13,17,0.15506,95365,74,30,0,False
adidas Ultra Boost 4.0 Grey Two,113,9.5,120,13,None,140,16,68,250,90,119,141,0.087499,1887,-0.278,131,130,13,20,0.181818,247123,80,29,7,False
Jordan 10 Retro Shadow (2018),130,10.5,108,13,None,150,14,104,280,81,137,155,0.064442,1983,-0.232,153,146,13,1,0.006897,304278,45,34,36,False
LeBron 3 Black Gold (2018),130,7,102,13,None,300,15,107,430,100,170,218,0.124041,388,0.109,211,194,13,4,0.021053,81941,37,23,10,False
Air Force 1 Low Retro DSM White,130,5,140,13,None,155,8.5,86,250,105,132,164,0.106119,134,0.138,169,148,13,-17,-0.10303,22658,3,25,45,False
Jordan 4 Retro Fire Red Singles Day 2018 (W),135,8W,128,13,None,190,15.5W,93,280,101,160,200,0.109823,881,-0.053,176,180,13,29,0.192053,155421,35,68,2,False
Air Max 97 Bright Citron,145,11.5,40,13,None,143,14,45,280,125,106,184,0.268194,36,-0.146,152,145,13,3,0.015409,5456,42,69,99,False
Nike Cortez Kenny 3 Kendrick Lamar TDE the Championship,148,4,111,13,None,200,14,87,466,90,178,220,0.104475,4030,0.99,160,199,13,51,0.344595,642888,91,72,34,False
Air Max 1 Dark Obsidian Crepe Sole,149,7.5,58,13,None,215,11.5,81,400,150,188,262,0.164504,129,0.5,198,225,13,55,0.323529,25577,96,43,76,False
Air Max Plus OG Hyper Blue (2018),160,11,78,13,None,165,9.5,90,369,130,134,158,0.085248,194,-0.088,183,146,13,-24,-0.141176,35470,44,21,2,False
Asics Gel-Lyte III Atmos World Map,170,10,59,13,None,220,12.5,53,300,150,145,195,0.147495,56,0.133,199,170,13,0,0,11132,8,9,55,False
adidas ZX 500 Dragon Ball Z Son Goku,195,6,205,13,None,360,11,188,700,150,269,351,0.132751,3398,0.824,297,310,13,-59,-0.159892,1010035,49,36,97,False
Jordan 4 Retro Royalty,200,14,72,13,None,302,7.5,102,420,146,213,297,0.165348,1430,0.342,239,255,13,0,0,342398,41,88,85,False
adidas Ultra Boost 4.0 Game of Thrones Nights Watch,225,7.5,15,13,None,255,11,73,350,170,228,262,0.069984,102,0.225,233,245,13,-30,-0.109091,23753,92,77,18,False
adidas Human Race NMD Pharrell Holi Festival (Pink Glow),233,8,334,13,None,300,4.5,80,1000,151,216,284,0.1342,3999,0,332,250,13,0,0,1328916,9,21,90,False
Converse Chuck Taylor All-Star 70s Hi Brain Dead,240,12,44,13,None,295,7.5,151,389,160,210,280,0.144354,812,1.227,216,245,13,5,0.020833,175016,74,19,24,False
Air Max 90 Off-White Black,550,6.5,25,13,None,665,12,143,900,575,562,628,0.05465,34,2.719,680,595,13,-55,-0.084615,23106,75,70,4,False
Air Max 97 Off-White Black,635,6,103,13,None,755,9.5,182,1500,500,637,743,0.0761,1248,2.632,670,690,13,-60,-0.08,836563,31,12,55,False
SF Air Force 1 High Black Dynamic Yellow,74,8.5,63,12,None,101,6,20,175,65,72,76,0.02745,42,-0.589,83,74,12,3,0.042141,3485,12,26,0,False
Air Force 1 Low Easter (2018),77,13,71,12,None,160,6,62,250,50,124,194,0.218139,1189,0.223,108,159,12,66,0.692982,128273,96,70,80,False
Air Max 97 Black Metallic Gold,94,4,105,12,None,145,12,54,300,90,117,153,0.132145,318,-0.25,149,135,12,45,0.5,47292,26,17,36,False
Vans Style 36 Marshmallow Racing Red,102,5.5,30,12,None,145,11,37,190,86,120,160,0.140999,251,0.867,122,140,12,-12,-0.084606,30685,41,26,7,False
Air Max Deluxe Skepta,105,5,146,12,None,175,13,71,340,85,129,173,0.14282,1204,-0.205,197,151,12,-34,-0.185096,237566,49,60,37,False
adidas Ultra Boost 4.0 Miami Hurricanes,113,10,97,12,None,200,6,43,250,81,80,130,0.23929,222,-0.417,131,105,12,0,0,29130,89,24,61,False
Jordan Legacy 312 Command Force Volt,114,11,85,12,None,138,8.5,62,350,41,121,159,0.132666,593,-0.125,143,140,12,54,0.627907,84789,30,46,22,False
Air Force 270 Wolf Grey,115,9,16,12,None,88,8,17,220,60,55,94,0.266776,353,-0.535,134,74,12,1,0.006034,47375,58,34,71,False
Jordan 14 Retro Last Shot (2018),118,7,125,12,None,200,8.5,125,325,100,141,219,0.216577,2362,-0.053,180,180,12,-20,-0.1,424780,10,85,40,False
Jordan 14 Retro Last Shot (2018),118,7,125,12,None,200,8.5,125,325,100,141,219,0.216577,2362,-0.053,180,180,12,-20,-0.1,424780,10,85,40,False
Kyrie 4 Day of the Dead,125,14,115,12,None,125,13,52,217,85,118,142,0.089824,570,0,151,130,12,19,0.171171,85883,85,25,73,False
Puma RS-X Toys White,125,11,50,12,None,150,12.5,75,239,86,117,135,0.072515,293,0.096,138,126,12,-1,-0.007874,40539,65,39,31,False
adidas Ultra Boost 4.0 Black Multi-Color White Heel Cage,129,13,57,12,None,120,9,21,170,85,58,112,0.315254,15,-0.528,141,85,12,-15,-0.15,2110,44,4,43,False
Air VaporMax 95 Neon,141,8,47,12,None,230,14,90,350,100,119,161,0.150551,977,-0.263,175,140,12,-10,-0.066667,170799,38,33,50,False
Air Force 1 Low Skeleton Halloween (2018),144,13,84,12,None,160,8.5,95,400,115,144,168,0.076485,1195,0.198,162,156,12,-2,-0.014185,193371,78,7,45,False
Air Force 1 Mid Utility White Black,145,13,25,12,None,173,8,81,220,95,169,189,0.054324,206,0.557,144,179,12,34,0.234483,29640,59,25,9,False
adidas Ultra Boost 4.0 Cloud White Maroon,149,8.5,44,12,None,130,13,22,225,100,117,141,0.09112,83,-0.283,152,129,12,-11,-0.078571,12642,94,20,7,False
Jordan 10 Retro Light Smoke Grey,156,8,44,12,None,185,11.5,95,300,125,155,183,0.085629,1153,-0.111,179,169,12,-10,-0.055866,206245,98,69,7,False
Air VaporMax 2 Midnight Purple,160,11,40,12,None,190,7.5,55,245,125,132,172,0.133562,87,-0.2,176,152,12,-23,-0.131429,15286,23,88,71,False
Air Foamposite One Marble (W),164,8.5W,19,12,None,200,10.5W,98,250,100,170,220,0.130089,323,-0.152,164,195,12,-5,-0.025,53130,74,47,54,False
Air Foamposite One Chrome White (W),165,9W,15,12,None,263,11W,103,350,80,175,245,0.165459,632,-0.087,156,210,12,10,0.05,98473,67,96,73,False
Nike React Element 87 Undercover Lakeside,176,5,104,12,None,265,11,90,420,130,220,270,0.101298,827,0.361,265,245,12,-5,-0.02,219534,54,40,73,False
Jordan 6 Retro Maroon (2015),195,14,163,12,None,240,7.5,91,360,100,185,255,0.158542,1098,0,204,220,12,40,0.222222,223610,39,57,46,False
Air VaporMax 2 Rust Pink (W),215,8W,49,12,None,200,11W,48,369,110,187,233,0.111606,871,0.105,226,210,12,25,0.135135,196819,9,14,68,False
Jordan 11 Retro Low Barons,215,11,74,12,None,299,8,104,368,152,186,270,0.1829,889,0.303,232,228,12,7,0.031674,206672,60,21,17,False
Jordan 1 Retro High Court Purple (GS),228,7Y,148,12,None,371,5Y,103,450,195,321,437,0.154246,5001,2.158,319,379,12,4,0.010667,1594114,80,47,27,False
Jordan 11 Retro Low Concord,285,11.5,92,12,None,315,8.5,95,525,181,268,330,0.102293,823,0.993,297,299,12,34,0.128302,244731,40,67,7,False
Jordan 1 Retro Chicago (2015),450,17,131,12,None,730,8,173,1000,193,622,818,0.13548,911,3.5,632,720,12,41,0.060383,575700,80,97,10,False
Nike Shox Gravity Triple White,49,9.5,22,11,None,50,13,13,65,35,44,53,0.097575,45,-0.677,48,48,11,9,0.209568,2146,18,29,80,False
Nike Shox Gravity White Black,50,8.5,12,11,None,125,14,11,100,35,34,42,0.100208,80,-0.747,52,38,11,-2,-0.05,4166,22,56,8,False
Vans Authentic Disney Mickey's Birthday,64,11.5,41,11,None,85,6,27,192,50,27,73,0.4645,97,-0.231,93,50,11,-15,-0.230769,9022,79,6,15,False
Jordan 1 Mid Black Dark Concord,81,10,66,11,None,87,8.5,45,191,60,78,98,0.118136,149,-0.2,90,88,11,18,0.257143,13463,59,4,33,False
Jordan 8 Retro Tinker Air Raid (GS),99,6.5Y,19,11,None,100,7Y,26,170,68,91,109,0.092511,97,-0.286,117,100,11,0,0,11386,84,35,6,False
Vans Sk8-Hi MTE NASA Space Voyager Black,99,8,106,11,None,141,13,40,225,85,140,170,0.097398,792,0.409,132,155,11,17,0.123188,104538,13,5,95,False
Converse Chuck Taylor All-Star 70s Ox Undefeated Varsity Jacket,112,10.5,104,11,None,140,13,28,200,50,22,78,0.55967,103,-0.583,139,50,11,-56,-0.528302,14368,36,17,84,False
Jordan 13 Retro Olive,115,8.5,112,11,None,175,15,52,225,80,86,124,0.180409,1286,-0.447,135,105,11,5,0.05,173969,86,25,31,False
Puma RS-X Transformers Bumblebee,123,12,26,11,None,155,11,58,200,92,69,115,0.253689,140,0,157,92,11,-53,-0.365517,21959,61,43,19,False
adidas Ultra Boost 1.0 Engineered Garments,142,9,88,11,None,200,13,39,549,126,121,157,0.12953,330,-0.444,190,139,11,-5,-0.034722,62573,25,52,18,False
Nike Dunk SB Low Marty McFly,150,11.5,33,11,None,210,13,55,275,80,206,274,0.140475,226,1.4,156,240,11,29,0.137441,35360,68,5,91,False
Air Max 270 Doernbecher (2018),165,7,183,11,None,195,13,121,301,150,176,198,0.056697,469,0.247,198,187,11,18,0.106509,92936,83,64,7,False
Air VaporMax 2019 Black Metallic Gold,185,10,37,11,None,190,6,35,230,155,167,203,0.098587,16,-0.026,186,185,11,0,0,2975,26,6,1,False
Air Foamposite One Abalone,200,13,41,11,None,270,8.5,95,300,106,192,268,0.163156,1504,-0.08,208,230,11,20,0.095238,312323,0,71,17,False
Revenge X Storm Low Top Black (with Flames),215,11,16,11,None,150,10,39,350,141,183,257,0.169703,733,0.1,204,220,11,70,0.466667,149341,63,35,94,False
adidas Ultra Boost 2019 Cloud White Active Red,220,9,34,11,None,275,9.5,78,650,185,200,280,0.164592,99,0.333,255,240,11,-60,-0.2,25251,43,92,21,False
Air Max 95 Cav Empt White,226,9,65,11,None,210,11,21,300,200,185,237,0.125525,12,0.055,217,211,11,11,0.055,2604,99,93,58,False
Off-White Vulc Low Black,239,39,36,11,None,250,46,37,600,200,268,310,0.07427,904,0.23,291,289,11,49,0.204167,262639,48,70,91,False
Jordan 1 Retro High Bred Toe (GS),309,7Y,131,11,None,432,5Y,69,550,125,308,380,0.105636,7397,1.867,216,344,11,44,0.146667,1595499,15,10,13,False
Jordan 1 Retro Black Toe (2016),313,15,154,11,None,713,8,141,870,200,305,595,0.323176,1498,1.813,473,450,11,-166,-0.269481,708038,58,0,17,False
adidas Human Race NMD Pharrell Oreo,360,8.5,145,11,None,434,14,87,628,220,350,440,0.115157,1417,0.646,467,395,11,-33,-0.077103,661063,45,2,19,False
Nike Air Force 1 '07 Black/Black,71,9.5,86,10,None,70,11,36,120,55,65,75,0.074107,306,-0.222,77,70,10,-4,-0.054054,23590,40,51,35,False
Vans Sk8-Hi Marvel Deadpool,74,5,35,10,None,320,14,14,150,25,72,100,0.16099,290,0.147,86,86,10,-29,-0.252174,25062,42,36,80,False
Jordan 1 Mid White Black Hyper Pink (GS),90,7Y,29,10,None,111,5Y,41,160,70,82,98,0.092888,279,0,103,90,10,-10,-0.1,28733,69,20,65,False
Nike SB Dunk Low Light Cream Thunderstorm,92,10.5,38,10,None,100,9,30,150,80,92,106,0.068912,19,0.042,97,99,10,19,0.2375,1837,50,28,41,False
Air Force 1 Low White 2018 (W),110,8W,29,10,None,110,6.5W,14,200,70,119,129,0.044089,354,0.378,118,124,10,14,0.127273,41884,63,31,63,False
Air Force 1 Mid Utility University Red,114,11,33,10,None,160,10.5,41,200,85,147,185,0.112489,120,0.444,151,166,10,7,0.037914,18137,99,37,48,False
Jordan 5 Retro International Flight,125,13,113,10,None,161,7.5,91,262,85,121,145,0.091564,1958,-0.3,149,133,10,-16,-0.107383,291933,58,36,57,False
Air Max 97 Jacket Pack,125,4,80,10,None,220,12.5,58,399,40,164,216,0.137504,293,0.118,182,190,10,60,0.461538,53406,76,7,63,False
Jordan 10 Retro Tinker,129,14,83,10,None,125,12,70,285,90,114,134,0.080609,813,-0.347,150,124,10,-1,-0.008,121767,63,75,64,False
Puma RS-X Transformers Optimus Prime,135,9,28,10,None,140,14,44,220,107,136,164,0.09206,155,0,153,150,10,10,0.071429,23738,44,42,66,False
adidas Nite Jogger Core Black,140,10,31,10,None,125,12,23,160,125,131,149,0.065409,22,0,137,140,10,-10,-0.066667,3023,32,44,10,False
adidas NMD TS1 Gore-Tex Triple Black,150,5,39,10,None,180,12,57,290,80,152,198,0.130169,844,-0.239,167,175,10,11,0.067073,140876,1,90,26,False
Jordan 8 Retro Cool Grey,155,11.5,65,10,None,180,12,76,335,90,142,158,0.055341,506,-0.211,162,150,10,-7,-0.044586,81758,30,33,50,False
Jordan 8 Retro South Beach,168,12,67,10,None,153,8.5,109,256,120,119,167,0.171256,620,-0.247,170,143,10,-32,-0.182857,105595,31,23,29,False
Nike Zoom Streak Spectrum Plus Supreme White,181,10.5,130,10,None,250,7.5,57,600,125,150,169,0.060346,2003,-0.005,189,159,10,-26,-0.144275,379524,7,91,47,False
Jordan 4 Retro Motorsports Alternate,190,10,59,10,None,202,12,66,300,90,171,209,0.099806,1069,0,168,190,10,-5,-0.025641,179855,76,8,95,False
Jordan 5 Retro Grape (2013),200,6.5,116,10,None,215,11.5,73,364,121,171,209,0.099215,798,0.188,209,190,10,-28,-0.12844,166439,10,30,38,False
Revenge X Storm Low Top Blue,215,12,48,10,None,205,11,49,450,140,184,226,0.100997,698,0,210,205,10,-45,-0.18,146383,20,35,7,False
Jordan 1 Retro All Star 2017 "Chameleon",220,14,127,10,None,451,8.5,126,500,140,380,506,0.142181,1599,1.531,264,443,10,143,0.476667,421858,28,48,47,False
Air Force 1 Low De Lo Mio,222,13,110,10,None,375,5.5,173,480,165,251,349,0.16192,1448,0.818,254,300,10,5,0.016949,367651,99,0,75,False
adidas Human Race NMD Pharrell Holi Festival (Chalk Coral),249,8.5,155,10,None,290,14,83,1250,180,260,316,0.098049,4109,0.152,350,288,10,58,0.252174,1439475,55,50,74,False
adidas Human Race NMD Pharrell Oreo,360,8.5,145,10,None,434,14,87,628,220,350,440,0.115157,1417,0.646,467,395,10,-33,-0.077103,661063,77,14,82,False
Jordan 1 Retro High Off-White White,1799,15,91,10,None,2480,8.5,161,3500,1000,2077,2623,0.116251,1272,11.368,1850,2350,10,459,0.242729,2353346,20,11,54,False
Jordan 11 Retro Cleat Cool Grey,55,8.5,103,9,None,70,12,13,375,50,40,80,0.327436,101,-0.52,118,60,9,0,0,11927,49,55,25,False
adidas NMD R1 Energy Ink,60,9,70,9,None,80,10,27,175,50,41,59,0.181487,111,-0.643,85,50,9,-20,-0.285714,9489,10,66,75,False
Jordan 1 Retro High Flyknit Royal,79,11.5,80,9,None,100,8,49,160,40,51,79,0.217673,980,-0.639,99,65,9,-55,-0.458333,96861,28,49,55,False
Air Force 1 Low Off-White Black White (I),80,3,81,9,None,85,1,23,239,62,82,94,0.073667,215,0.76,97,88,9,3,0.035294,20948,33,37,53,False
Nike SF Air Force 1 High Court Purple,80,10,16,9,None,80,10,20,180,60,83,97,0.072311,104,-0.5,114,90,9,10,0.125,11820,66,71,57,False
Air Max 180 Ultramarine (2018),90,10.5,45,9,None,98,14,54,250,58,50,80,0.229987,891,-0.5,99,65,9,-15,-0.1875,88410,48,7,73,False
Jordan 1 Mid Chicago,95,13,39,9,None,188,7.5,54,269,45,42,149,0.555444,762,-0.132,125,96,9,0,-0.00491,95300,37,75,22,False
Jordan 6 Retro All Star 2017 "Chameleon" (GS),98,6Y,15,9,None,90,4.5Y,40,175,45,74,98,0.141659,134,-0.522,86,86,9,-4,-0.044444,11552,10,89,63,False
adidas NMD CS1 Gore-tex Black,100,11,34,9,None,151,7.5,39,239,85,103,128,0.111102,550,-0.497,143,116,9,16,0.155895,78567,30,84,10,False
Air Force 1 High Flax (2018),102,9.5,36,9,None,102,13,31,140,78,84,108,0.129579,31,-0.314,110,96,9,-10,-0.09434,3400,90,56,5,False
Nike SF Air Force 1 High Triple Black,102,8.5,47,9,None,115,11,41,200,60,97,111,0.06737,627,-0.438,116,104,9,1,0.008927,72898,31,77,55,False
Jordan 1 Mid Reverse New Love,105,12,66,9,None,136,7.5,36,190,66,110,170,0.213581,504,0.273,121,140,9,10,0.071154,60880,46,71,22,False
Air Force 1 Low Utility Team Orange,109,12,28,9,None,120,8,29,200,75,100,158,0.227769,37,0.29,127,129,9,11,0.090403,4713,25,24,44,False
Nike React Element 55 Black White,114,9,49,9,None,152,6,51,220,70,100,120,0.094581,568,-0.154,127,110,9,-5,-0.043478,72245,54,71,3,False
Air Max 270 Safari Off Noir Habanero Red,114,9.5,12,9,None,131,10.5,61,215,100,93,117,0.116943,58,-0.3,131,105,9,-35,-0.250296,7583,44,67,78,False
Under Armour Curry 6 Fox Theatre,115,11,25,9,None,120,8.5,25,220,85,110,150,0.151828,38,0,149,130,9,9,0.07438,5667,18,5,95,False
Air Foamposite One Denim,130,8.5,80,9,None,180,15,56,260,105,140,160,0.067611,680,-0.348,168,150,9,5,0.034483,114433,81,45,3,False
Under Armour Curry 6 Fox Theatre,115,11,25,9,None,120,8.5,25,220,85,110,150,0.151828,38,0,149,130,9,9,0.07438,5667,18,5,95,False
Jordan 10 Retro Tinker,124,14,84,9,None,125,12,70,285,90,115,135,0.079897,812,-0.342,150,125,9,10,0.086957,121643,19,66,11,False
Air Foamposite One Denim,130,8.5,80,9,None,180,15,56,260,105,140,160,0.067611,680,-0.348,168,150,9,5,0.034483,114433,81,45,3,False
Kobe NXT 360 Infrared,130,13,33,9,None,150,11,25,260,115,97,133,0.157725,215,-0.425,157,115,9,-15,-0.115385,33859,19,52,90,False
Nike React Runner Mid WR ISPA Blue Void Team Orange,132,10.5,108,9,None,150,11.5,17,249,115,124,154,0.107897,84,-0.228,179,139,9,3,0.022059,15065,40,52,69,False
Kyrie 4 Halloween,136,10,46,9,None,200,15,70,250,80,96,126,0.13311,762,-0.075,132,111,9,-24,-0.177778,100275,2,40,16,False
Air Max 97 Overbranding Blue Hero,137,10,36,9,None,145,12.5,43,250,110,117,155,0.139894,251,-0.2,159,136,9,-26,-0.160494,40013,6,16,2,False
Air VaporMax Run Utility Light Silver,150,14,15,9,None,160,11,26,349,125,111,219,0.325693,63,-0.132,184,165,9,5,0.03125,11619,43,84,3,False
Air Force 1 Low Realtree Black,156,15,34,9,None,126,10,41,279,125,156,238,0.20857,15,0.97,174,197,9,-48,-0.195918,2604,13,39,55,False
Jordan 1 Retro Metallic Red (2017),165,14,49,9,None,267,8,91,396,76,219,282,0.125629,1397,0.568,138,251,9,61,0.320145,192765,20,34,77,False
Jordan 13 Retro White Hyper Royal Black,168,11.5,76,9,None,190,8.5,105,285,102,173,193,0.053608,2153,-0.037,202,183,9,4,0.022346,434932,21,92,3,False
Air VaporMax Run Utility Black Reflect Silver,170,8,27,9,None,180,12,68,305,125,148,192,0.13193,330,-0.105,188,170,9,-19,-0.100529,62044,62,44,34,False
adidas Ultra Boost 2.0 Multi-Color,175,8,130,9,None,209,10.5,58,420,147,181,219,0.093956,1572,0.111,221,200,9,12,0.062095,347711,90,77,29,False
adidas Yeezy Boost 350 V2 Cream White Infant (I),178,10K,45,9,None,227,5K,27,295,100,227,283,0.108022,640,0.821,178,255,9,45,0.214286,114081,54,84,75,False
Air VaporMax 97 Japan,180,9.5,42,9,None,180,10,53,350,120,129,181,0.16683,1265,-0.184,177,155,9,-35,-0.184211,224102,87,69,40,False
Jordan 7 Retro Hare (2015),180,10,161,9,None,200,9.5,72,360,120,203,245,0.092,963,0.179,195,224,9,8,0.037037,188225,60,54,29,False
Jordan 6 Retro Infrared White (2014),180,13,117,9,None,268,8.5,80,521,130,141,214,0.203074,858,0.044,217,178,9,-64,-0.266366,185932,20,22,79,False
Air Max 97 Pull Tab Obsidian White,182,8,30,9,None,190,10,42,265,120,176,222,0.115283,704,0.171,168,199,9,-26,-0.115556,118436,80,48,45,False
Air VaporMax Run Utility Urban Bounce,185,8.5,43,9,None,260,13,41,279,150,172,198,0.070355,123,-0.026,204,185,9,-5,-0.026316,25138,41,30,19,False
Jordan 11 Retro Low Closing Ceremony,190,10,149,9,None,240,15,111,360,120,181,219,0.095861,1277,0.176,195,200,9,18,0.098901,248883,34,31,44,False
Air Foamposite Pro Black Metallic Gold,195,10,78,9,None,275,14,105,360,130,152,208,0.15558,824,-0.217,206,180,9,-95,-0.345455,169580,99,0,52,False
LeBron 16 I Promise,205,11.5,59,9,None,250,16,82,325,150,188,212,0.061918,623,0.081,210,200,9,-23,-0.103139,131070,62,53,70,False
Revenge X Storm Low Top Red (with Flames),210,8,19,9,None,170,11,21,350,122,120,190,0.227281,522,-0.225,197,155,9,-65,-0.295455,103056,9,74,94,False
Jordan 3 Retro Sport Blue,210,10.5,90,9,None,230,12,63,369,116,232,266,0.068186,705,0.467,206,249,9,50,0.246553,145133,44,54,72,False
LeBron 16 King,210,8,73,9,None,295,13,82,399,140,156,254,0.239695,671,0.108,217,205,9,20,0.108108,145277,13,94,36,False
